id1;id2;dist;edge_id
27560945;27560920;56;39558885
27560946;27560945;8;37750807
27560946;27561934;138;38124566
27560956;27561066;14;38813266
27560958;27560646;149;38880776
27560969;27560511;233;38857910
27560969;27561064;12;39752158
27560970;27560323;115;38813251
27560977;27560929;129;39594102
27560977;27561008;58;37750805
27560978;27561035;104;39315140
27560996;27560241;206;39752122
27560996;27561162;37;39230463
27560996;27561285;50;39752121
27560997;27561099;179;37545345
27560997;27561427;148;37498390
27560999;27560849;28;38230255
27560999;27561108;14;37545471
27561008;27560946;99;37750806
27561008;27561934;217;38735741
27561016;27560868;69;39636854
27561016;27560918;16;39636861
27561017;27560977;48;37750809
27561018;27560978;64;39594129
27561018;27561028;34;38854224
27561028;27561343;503;37750833
27561035;27561044;29;39315139
27561044;27560902;27;38405336
27561044;27561057;19;39594128
27561057;27560902;23;38405340
27561057;27561066;11;39594121
27561064;27561447;151;38857912
27561064;27561769;131;37547032
27561065;27561017;82;37750808
27561066;27561079;24;39594122
27561066;27561347;36;39594108
27561078;27559767;299;37498397
27561079;27561124;58;38813256
27561083;27561065;35;39594101
27561091;27560925;33;38750950
27561091;27560928;23;37510546
27561099;27560789;46;37604937
27561099;27560997;179;37545346
27561099;27561201;331;37545343
27561099;27561427;45;37604934
27561108;27560808;148;37545322
27561108;27560999;14;37545470
27561108;27561838;226;38230369
27561124;27561140;25;39594130
27561124;27561405;36;38405339
27561128;27561163;14;38880689
27561140;27560970;20;38553696
27561140;27561145;11;39594134
27561145;27561314;24;39594145
27561145;27561340;231;38553697
27561147;27560969;64;39752157
27561157;27560863;49;38405322
27561157;27561453;169;38405303
27561157;27561453;165;38405319
27561162;27560996;37;39230462
27561162;27562057;233;39230464
27561163;27561128;14;38880688
27561163;27561284;16;39558902
27561165;27561078;17;37498396
27561165;27561322;26;37545341
27561174;27560710;379;37692131
27561174;27560735;136;37692137
27561174;27560792;132;37692134
27561201;27560940;35;37604941
27561201;27561099;331;37545344
27561247;27560751;73;38405342
27561251;27561035;27;39594140
27561251;27561065;172;38854234
27561258;27561525;149;38126177
27561258;27561900;207;38126237
27561269;27561017;281;39594146
27561269;27561251;12;39594133
27561284;27562005;114;39227695
27561285;27560996;50;39752120
27561285;27561078;28;37545342
27561285;27561322;10;39752119
27561287;27560808;69;38126199
27561287;27561407;93;38126233
27561287;27561451;22;38126196
27561303;27560486;180;39758574
27561303;27560708;233;38126244
27561307;27561269;21;39594132
27561314;27561140;23;39594136
27561314;27561408;24;39594144
27561317;27560682;99;39558898
27561322;27561285;10;39752118
27561322;27562199;221;37545340
27561328;27561307;16;39594131
27561329;27561441;32;38881727
27561329;27561511;25;38216657
27561333;27561057;36;39594106
27561333;27561328;6;39594124
27561335;27561379;153;38579130
27561335;27561527;211;38813258
27561340;27561353;50;39341363
27561343;27561340;38;37750874
27561347;27561333;12;39594123
27561347;27561522;25;38405338
27561350;27561651;49;38880737
27561353;27561335;43;38813259
27561353;27561492;208;39341364
27561361;27561735;55;38880741
27561373;27561347;30;39594125
27561373;27561522;34;38553699
27561376;27561373;16;39594120
27561379;27561570;68;38741856
27561389;27561756;120;38704286
27561400;27561410;46;39594137
27561403;27561083;504;37750811
27561405;27561376;29;39594127
27561407;27561287;93;38126234
27561408;27561405;10;39594126
27561410;27561314;25;39594141
27561410;27561431;35;38579133
27561413;27561688;42;38880739
27561416;27561403;67;37510325
27561427;27561099;45;37604935
27561427;27561574;335;37498389
27561428;27561400;59;39594135
27561430;27561670;77;38874913
27561430;27562057;158;38740338
27561431;27561408;8;38579134
